Block,Rep,Box,Leaf,Disk,Env,FocalSR,CompSR,Dens,Type,Focalfemale,FocalDead,FocalDrowned,FocalMissing,NumbDeadComp,TeFemales,TuFemales,Observations
1,1,2,3,1,N,1,5,2,INTER,Tu,0,0,0,0,15,0,NA
1,1,2,4,2,N,1,5,2,INTER,Tu,0,0,0,0,7,4,NA
1,1,2,3,3,Cd,1,5,2,INTER,Tu,0,0,0,0,2,1,NA
1,1,2,4,4,Cd,1,5,2,INTER,Tu,0,0,0,0,4,0,NA
1,1,2,3,5,N,1,5,4,INTER,Tu,0,0,0,0,19,3,NA
1,1,2,4,6,N,1,5,4,INTER,Tu,0,0,0,0,42,0,NA
1,1,2,3,7,Cd,1,5,4,INTER,Tu,0,1,0,0,23,0,NA
1,1,2,4,8,Cd,1,5,4,INTER,Tu,1,0,0,1,6,1,NA
1,1,2,3,9,N,1,5,10,INTER,Tu,0,0,0,0,5,0,NA
1,1,2,4,10,N,1,5,10,INTER,Tu,0,0,0,0,4,0,NA
1,1,2,3,11,Cd,1,5,10,INTER,Tu,0,0,0,4,0,0,NA
1,1,2,4,12,Cd,1,5,10,INTER,Tu,0,1,0,2,0,0,NA
1,1,1,3,1,N,2,5,2,INTER,Tu,0,0,0,0,3,0,NA
1,1,1,4,2,N,2,5,2,INTER,Tu,0,0,0,0,4,1,NA
1,1,1,3,3,Cd,2,5,2,INTER,Tu,0,1,0,1,0,0,NA
1,1,1,4,4,Cd,2,5,2,INTER,Tu,0,0,0,0,6,0,NA
1,1,1,3,5,N,2,5,4,INTER,Tu,0,0,0,0,8,0,NA
1,1,1,4,6,N,2,5,4,INTER,Tu,0,0,0,0,22,0,NA
1,1,1,3,7,Cd,2,5,4,INTER,Tu,0,0,0,0,3,0,NA
1,1,1,4,8,Cd,2,5,4,INTER,Tu,0,0,0,0,3,0,NA
1,1,1,3,9,N,2,5,10,INTER,Tu,0,0,0,0,29,0,NA
1,1,1,4,10,N,2,5,10,INTER,Tu,0,0,0,0,65,0,NA
1,1,1,3,11,Cd,2,5,10,INTER,Tu,0,0,0,2,6,0,NA
1,1,1,4,12,Cd,2,5,10,INTER,Tu,0,0,0,2,31,2,NA
